sequence_id,predicted_cluster,silhouette,selected_k,known_subfamily
family372_seq057,1,0.4012563595684254,2,LTR30
family372_seq058,1,0.092091955955681,2,LTR30
family372_seq059,1,0.13371591745122924,2,LTR30
family372_seq060,1,0.4786380359795933,2,LTR30
family372_seq061,1,0.33897624345779304,2,LTR30
family372_seq062,1,0.44373456161095287,2,LTR30
family372_seq063,1,0.33584447614927043,2,LTR30
family372_seq064,1,0.24320242876596174,2,LTR30
family372_seq065,1,0.488996404566893,2,LTR30
family372_seq066,1,0.399182181479897,2,LTR30
family372_seq067,1,0.33122082417302046,2,LTR30
family372_seq068,1,0.40075232226395163,2,LTR30
family372_seq069,1,0.2748333082992609,2,LTR30
family372_seq070,1,0.07418801571549236,2,LTR30
family372_seq071,1,0.25725513786827103,2,LTR30
family372_seq072,1,0.3734868499176278,2,LTR30
family372_seq073,1,0.27934901440355164,2,LTR30
family372_seq074,1,0.467328353986905,2,LTR30
family372_seq075,1,0.12174941212704893,2,LTR30
family372_seq076,1,0.2432024287659589,2,LTR30
family372_seq077,1,0.370795855401753,2,LTR30
family372_seq078,1,0.3429499655366728,2,LTR30
family372_seq079,1,0.3312208241730251,2,LTR30
family372_seq080,1,0.3787982440588818,2,LTR30
family372_seq081,1,0.4460872278949434,2,LTR30
family372_seq082,1,0.49256177814237,2,LTR30
family372_seq083,1,0.43785251322467034,2,LTR30
family372_seq084,0,0.7313464919843969,2,LTR30N1
family372_seq085,0,0.8065117990392604,2,LTR30N1
family372_seq086,0,0.7000515577643232,2,LTR30N1
family372_seq087,0,0.7668517848341412,2,LTR30N1
family372_seq088,0,0.7496428512446727,2,LTR30N1
family372_seq089,0,0.7703948132286712,2,LTR30N1
family372_seq090,0,0.7864089539797773,2,LTR30N1
family372_seq091,0,0.7137802520106897,2,LTR30N1
family372_seq092,0,0.7154551562606274,2,LTR30N1
family372_seq093,0,0.7963148816256871,2,LTR30N1
family372_seq094,0,0.7668517848341398,2,LTR30N1
family372_seq095,0,0.623656627692412,2,LTR30N1
family372_seq096,0,0.7778999795733218,2,LTR30N1
family372_seq097,0,0.8042129400700718,2,LTR30N1
family372_seq098,0,0.2804852953633828,2,LTR30N1
family372_seq099,0,0.547951791429724,2,LTR30N1
family372_seq100,0,0.7145326821209507,2,LTR30N1
family372_seq101,0,0.7807234476523027,2,LTR30N1
family372_seq102,0,0.7770170086780736,2,LTR30N1
family372_seq103,0,0.7857494685213157,2,LTR30N1
family372_seq104,0,0.7410182747754824,2,LTR30N1
family372_seq105,0,0.735574610852062,2,LTR30N1
family372_seq106,0,0.8043798265026739,2,LTR30N1
family372_seq107,0,0.8029139657448299,2,LTR30N1
family372_seq108,0,0.7233538177154315,2,LTR30N1
family372_seq109,0,0.7542442970798191,2,LTR30N1
family372_seq110,0,0.5479517914297223,2,LTR30N1
family372_seq111,0,0.7802188142620476,2,LTR30N1
family372_seq112,0,0.7729960676211061,2,LTR30N1
family372_seq113,0,0.765688305643732,2,LTR30N1
family372_seq114,0,0.7327131261349785,2,LTR30N1
family372_seq115,0,0.7951077389791011,2,LTR30N1
family372_seq116,0,0.6675761194019411,2,LTR30N1
family372_seq117,0,0.4365959811651879,2,LTR30N1
family372_seq118,0,0.7232012034491293,2,LTR30N1
family372_seq119,0,0.804379826502673,2,LTR30N1
family372_seq120,0,0.7918957808693572,2,LTR30N1
family372_seq121,0,0.7173266211608146,2,LTR30N1
family372_seq122,0,0.7327131261349755,2,LTR30N1
